------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:05:27 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
capture.afpacket.polls                        | Total                     | 19327
capture.afpacket.poll_timeout                 | Total                     | 5731
capture.afpacket.poll_data                    | Total                     | 13596
decoder.pkts                                  | Total                     | 7138
decoder.bytes                                 | Total                     | 9235615
decoder.ipv4                                  | Total                     | 7138
decoder.ethernet                              | Total                     | 7138
decoder.tcp                                   | Total                     | 7041
tcp.syn                                       | Total                     | 14
tcp.synack                                    | Total                     | 14
tcp.rst                                       | Total                     | 7
decoder.udp                                   | Total                     | 78
decoder.icmpv4                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 1293
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 14
flow.total                                    | Total                     | 40
flow.active                                   | Total                     | 31
flow.tcp                                      | Total                     | 14
flow.udp                                      | Total                     | 26
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
tcp.sessions                                  | Total                     | 14
tcp.ssn_from_pool                             | Total                     | 14
tcp.segment_from_cache                        | Total                     | 842
tcp.segment_from_pool                         | Total                     | 83
tcp.stream_depth_reached                      | Total                     | 1
detect.alert                                  | Total                     | 2
app_layer.flow.http                           | Total                     | 6
app_layer.tx.http                             | Total                     | 8
app_layer.flow.tls                            | Total                     | 8
app_layer.flow.dns_udp                        | Total                     | 26
app_layer.tx.dns_udp                          | Total                     | 78
flow.end.state.new                            | Total                     | 9
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9009
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 48
flow.mgr.flows_notimeout                      | Total                     | 39
flow.mgr.flows_timeout                        | Total                     | 9
flow.mgr.flows_evicted                        | Total                     | 9
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
flow.recycler.recycled                        | Total                     | 9
flow.recycler.queue_max                       | Total                     | 2
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1232896
http.memuse                                   | Total                     | 5588
